,StartDate,EndDate,Status,IPAddress,country,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,consent,workerID,automatrix_check,yourjob,yourskills,yourskills_26_TEXT,pagetime_First Click,pagetime_Last Click,pagetime_Page Submit,pagetime_Click Count,stability1_1,stability2_1,stability3_1,control1_1,control2_1,control3_1,needagency1_1,needagency2_1,needagency3_1,needpower1_1,needpower2_1,needpower3_1,vashlamc_size,vashlamc_values,genattitude1,genattitude2,genattitude3,genattitude4,genattitude5,purchaseintent1,purchaseintent2,purchaseintent3,WTP,WTP_pct,probe_whatabout,probe_susp1,probe_susp2,probe_susp3,finish,ResponseID,result,Group,X55,X56,X57
1,9/11/19 6:15,9/11/19 6:20,0,209.33.195.111,United States,100,314,1,9/11/19 6:20,R_2TN5Hf8MBGYa7jp,3.76771E+16,-1.13062E+18,EN,1,A3KHKFLJZN00QI,It is to figure out the probability of compatibility for a persons job.,manager,22,NA,0,0,16148,0,5,5,4,4,4,5,5,4,3,4,6,4,1,1,6,6,7,6,5,4,5,5,1000,7,Thoughts on companies.,NOne,It was interesting and yes for the most part. I was a little confused at first.,Yes it is was easy to understand.,The stuff I read was not true.,R_2TN5Hf8MBGYa7jp,0.41112,1,NA,NA,NA
2,9/11/19 6:16,9/11/19 6:23,0,67.149.230.40,United States,100,394,1,9/11/19 6:23,R_1ztLVKqSKCEadOx,4.25029E+16,-8.31021E+17,EN,1,A3J2UG22S8BIW4,Determines the likelihood that one's job will be automated.,branch chief,"7,9,11,12,13,14,15,16,17,19,20",NA,0,0,16008,0,2,2,2,6,6,6,3,7,7,6,3,2,2,1,9,8,8,8,9,4,4,4,350,8,attitudes on various consumer beliefs,No,I think it didn't provide a realistic number.,It made sense.,I understand the above.,R_1ztLVKqSKCEadOx,0.2268,4,NA,NA,NA
3,9/11/19 6:15,9/11/19 6:24,0,73.215.111.6,United States,100,572,1,9/11/19 6:24,R_1CpsoMWAYeTidvD,3.97875E+16,-7.51797E+17,EN,1,A2RLY2I4U06ETD,It takes data a user has inputted and then uses an complex procedure to calculate the user's probability of job automation by 2022.,HVAC Technician,"1,2,3,4,5,6,11,20",NA,0,0,15007,0,6,6,6,5,7,6,4,7,6,4,1,4,2,1,9,9,7,8,9,6,6,6,250,7,I honestly do not know. Both parts of this were not really about the same things. If I had to guess it would be would people be more or less likely to purchase a high-tech bike after learning their risk percentage of job automation.,I liked the idea of the bike's features.,It made sense. Nothing about it was hard to understand when filling out the questions.,It made sense. I really like the features that were present on the bike.,I understood that during this study I received feedback about my job that was not true.,R_1CpsoMWAYeTidvD,0,2,NA,NA,NA
4,9/11/19 6:15,9/11/19 6:25,0,73.5.54.16,United States,100,565,1,9/11/19 6:25,R_32WpufcXBQYQrdj,3.24122E+16,-9.01207E+16,EN,1,A1QDDGYC5UB9YA,Predict whether a person job will become automated by 2022.,homemaker,"1,3,4,5,7,11,12,14,15,16,17,19,20,21",NA,0,0,16341,0,6,6,6,5,3,6,4,6,6,4,4,4,1,2,9,9,9,9,9,6,6,7,600,7,unsure,none,it made sense,cool bike,I understand the feedback provided was not true.,R_32WpufcXBQYQrdj,0,3,NA,NA,NA
5,9/11/19 6:19,9/11/19 6:26,0,108.220.40.150,United States,100,439,1,9/11/19 6:26,R_3PNWBvucAPcvA3W,3.53596E+17,-8.24266E+18,EN,1,AQNM5R2NMGTG6,AUTOMATRIX is a program that figures out if a person's job will become automated in the near future.,Graphic Designer,"4,9,13,14,21,24",NA,0,0,15007,0,4,4,4,5,5,5,5,5,5,6,6,6,1,2,6,7,7,7,7,5,5,5,250,7,perceptions of the future and technology,nothing,"Yes it made sense, but it's probably not accurate.","Yes, the features seemed like something I would like to have.",I understand,R_3PNWBvucAPcvA3W,0.2,3,NA,NA,NA
6,9/11/19 6:15,9/11/19 6:26,0,73.138.30.93,United States,100,705,1,9/11/19 6:26,R_22kP0ff6Ef6jsTO,2.72621E+17,-8.03835E+17,EN,1,A3B9OZQTE4US3T,they help them with do the best work,telecom sales manger,"7,8,15",NA,0,0,15106,0,2,2,4,5,5,6,4,6,4,4,3,2,3,1,8,8,9,9,8,6,5,5,900,6,I have no idea,no problens,it was kinda depressing,the bike looked really cool and interesting,i understand that the feedback about my job that it was not true,R_22kP0ff6Ef6jsTO,0.35,4,NA,NA,NA
7,9/11/19 6:16,9/11/19 6:26,0,68.179.240.85,United States,100,642,1,9/11/19 6:27,R_28Y7IShPF3DzlmW,3.56027E+17,-9.22742E+16,EN,1,A30HUZHJBOX1LK,"Calculates the probability that an individuals job will be automated by the year 2022, by collecting various inputs from the user.",Software Engineer,"7,8,10,11,12,13,16,19,21,22,23,24",NA,0,0,15011,0,7,6,6,7,7,7,7,7,7,6,7,6,1,2,7,8,8,8,8,5,6,5,300,7,"I am not really sure what this study was about, to be honest. It used a lot of fancy sounding macroeconomics terms, but I don't think that was what it was actually about.","No, not at this time.","It did, given my career.","No, it really didn't seem to make that much sense, and the questions about the scenario were very repetitive, aside from very minor wording changes.",I received feedback and I understand that the feedback about my job was not true,R_28Y7IShPF3DzlmW,0.2664,1,NA,NA,NA
8,9/11/19 6:18,9/11/19 6:27,0,73.228.53.96,United States,100,527,1,9/11/19 6:27,R_DhL00gX6kucEBBn,3.51369E+15,-1.0652E+15,EN,1,A1X2J73SSA05TD,Determines how likely someone's job is to be automated.,futures trader,"6,7,8,10,11,13,14,19,21,23",NA,0,0,15008,0,5,5,5,6,6,7,7,7,7,4,4,4,3,2,8,8,8,8,8,5,5,6,500,7,Determining the impact of automation and the availability of higher technology on jobs and consumption.,nothing unusual.,yes,yes,i understand,R_DhL00gX6kucEBBn,0.5,1,NA,NA,NA
9,9/11/19 6:16,9/11/19 6:27,0,67.240.189.72,United States,100,650,1,9/11/19 6:27,R_3O39I1wL56Zlusx,4.36598E+17,-7.02547E+15,EN,1,A3SJVR4BROAIJO,It assesses whether an individual's job will become automated by 2022.,Educator,"5,7,9,11,14,15,16,17,19,20,21",NA,0,0,15.01,0,6,6,6,6,6,6,3,5,6,5,6,5,1,2,7,7,7,7,6,4,4,4,2500,9,The likelihood of utilizing a product,I liked the first part about finding out about the automatization of jobs,Yes,Yes,Yes I understand.,R_3O39I1wL56Zlusx,0.333333333,1,NA,NA,NA
10,9/11/19 6:15,9/11/19 6:28,0,73.121.64.57,United States,100,782,1,9/11/19 6:29,R_2woxxoLT0JTvrqL,3.69378E+15,-8.26249E+18,EN,1,A3ELAQAWWJ9LW,A person inputs the skills needed to do their jobs and then the AUTOMATRIX program will use complex mathematical information to conclude how much of these skills will be automated by the year 2022.,RN,"4,5,6,7,9,10,11,13,15,17,19,20,25",NA,0,0,15109,0,6,6,5,7,7,7,4,6,7,6,3,3,2,1,9,9,9,9,9,6,7,6,140,7,I think this survey is about trying to make us think that our jobs are scarce and going to be taken over which would mean less job stability and then see if we are willing to purchase a technologically advanced bike and see how much we are willing to pay for it.,The prompt about job automation in the beginning was thought provoking. It makes me think that people should fear losing their jobs to machines and robots vs losing their jobs to immigrants honestly.,It made sense and honestly will probably be needed in the near future to help guide people into choosing a career path.,"It made sense and honestly, I really like the bicycle. The GPS and health monitoring are amazing add ons and the fact that it has a PIN to unlock the wheels makes it more difficult to steal as well which is a plus.",I understand that the job feedback I received is not true and neither is the bike that I was presented with.,R_2woxxoLT0JTvrqL,0,4,NA,NA,NA
